Month Less0   Lo30  Med40   Hi30   Lo20   Qnt2   Qnt3   Qnt4   Hi20   Lo10   Dec2   Dec3   Dec4   Dec5   Dec6   Dec7   Dec8   Dec9   Hi10
197408   -9.92   -9.81   -8.08   -6.38   -9.39  -11.84  -10.35   -4.66   -6.33   -9.95   -9.05  -11.42  -12.40  -10.30  -10.41   -3.74   -6.46   -7.07   -5.69
197409  -13.42  -14.63   -7.38   -5.28  -15.76   -9.23   -7.45   -7.11   -4.04  -16.45  -15.34  -10.21   -7.88   -9.30   -5.00   -7.06   -7.22   -3.16   -4.77
197410   14.10   21.46   15.19    6.85   21.79   18.64   17.47   12.02    4.69   22.97   21.09   20.25   16.49   21.46   12.42   12.86   10.32    8.86    1.14
197411   -4.96   -4.26   -3.96   -3.13   -4.83   -2.53   -3.78   -4.35   -2.67   -4.65   -4.93   -2.15   -3.07   -5.32   -1.67   -4.60   -3.83   -1.70   -3.55
197412   -8.74   -4.19   -0.03   -1.75   -4.33   -2.96   -1.16    1.37   -3.04   -4.30   -4.36   -3.68   -1.94    0.31   -3.10    1.93    0.23   -1.92   -4.08
197501   27.27   10.58   14.13   21.86   10.18   12.73   15.36   15.40   23.54    7.68   11.71   12.03   13.68   12.92   18.69   13.50   19.38   18.48   28.33
197502    8.20    9.52    2.92    1.48   10.28    4.98    2.23    3.05    1.24    9.45   10.76    6.81    2.53    3.25    0.90    3.66    1.85    1.16    1.30
197503    7.73    3.32    3.18    0.96    3.45    3.68    5.58    0.29    1.68    4.19    3.03    2.83    4.86    5.82    5.27    0.49   -0.13    0.55    2.68
197504    8.46    5.34    4.98    0.74    5.16    7.29    4.68    2.38    0.27    6.51    4.37    6.00    9.05    5.15    4.05    2.83    1.47   -1.31    1.61
197505    8.44    5.56    4.46    7.20    5.50    4.63    4.60    6.45    5.99    4.88    5.87    5.78    3.09    4.94    4.13    5.20    9.06    5.86    6.09
197506    7.25    3.59    6.21    7.94    2.66    6.69    6.43    5.90    9.52    3.32    2.27    7.03    6.21    5.50    7.71    6.03    5.63    7.41   11.32
197507   -6.15   -8.40   -4.11   -3.75   -8.42   -7.24   -4.58   -3.42   -3.41   -8.33   -8.49   -8.38   -5.03   -4.12   -5.23   -2.70   -4.09   -3.73   -2.88
197508   -5.37   -2.67   -2.03   -1.70   -3.47   -1.49   -1.81   -2.53   -0.62   -4.25   -2.85   -1.17   -2.09   -1.29   -2.55   -2.24   -2.82   -0.78   -0.35
197509   -4.43   -4.82   -3.01   -1.89   -5.67   -3.36   -4.09   -1.27   -2.42   -6.69   -4.87   -3.26   -3.53   -4.59   -3.36   -1.19   -1.34   -2.66   -2.02
197510    2.91    6.62    5.44    5.51    6.22    6.32    6.24    5.50    5.40    3.81    8.05    7.34    4.37    5.83    6.82    5.38    5.62    4.83    6.32
197511    1.64    3.09    3.20    3.43    2.58    3.81    3.75    3.04    3.14    0.35    4.21    4.00    3.44    3.26    4.45    2.32    3.73    2.74    3.78
197512   -0.98   -2.54   -0.17    0.49   -2.84   -1.89   -0.12    1.03   -0.02   -2.48   -3.09   -2.03   -1.64   -0.33    0.17    1.05    1.02   -0.26    0.35
197601   20.91   11.96   13.05   11.80   11.15   13.15   15.32   10.94   12.31   13.22    9.69   13.38   12.70   15.88   14.53   10.58   11.28   13.77   10.04
197602    8.24   -1.68    2.86    0.95   -2.45    0.99    3.28    1.78    0.03   -2.31   -2.56   -0.35    3.63    3.18    3.43    1.66    1.89    0.44   -0.62
197603    3.20    2.83    2.32    2.63    3.02    2.34    0.78    3.64    2.51    0.52    4.86    2.51    2.02    0.30    1.46    4.58    2.75    3.59    0.74
197604   -2.56   -2.41   -0.34    1.09   -2.85   -1.20   -0.69    0.52    1.24   -2.53   -3.07   -1.66   -0.33    0.23   -1.98    0.10    0.93    1.23    1.27
197605   -2.37   -1.49    0.60   -1.83   -2.11   -0.08    0.22   -0.28   -2.11   -0.36   -3.35   -0.45    0.62    0.65   -0.39    1.04   -1.54   -2.44   -1.55
197606    5.20    4.96    4.11    4.31    4.26    5.62    4.00    4.03    4.30    5.84    3.11    6.12    4.68    2.76    5.80    3.75    4.31    4.81    3.47
197607   -0.80   -1.45   -0.84    1.47   -1.54   -1.49   -1.11    0.86    1.87   -2.22   -1.09   -1.31   -1.75   -2.26   -0.34    1.10    0.62    1.47    2.53
197608   -4.81   -0.65   -0.78    2.89   -1.33    0.03   -1.37    0.45    3.79   -1.95   -0.92    0.34   -0.43   -2.29   -0.77   -0.07    1.00    3.61    4.08
197609    1.15    2.01    2.79    2.84    2.09    1.71    3.46    3.13    2.82    3.47    1.19    1.90    1.43    1.48    4.75    3.39    2.86    2.19    3.86
197610   -4.73   -2.94   -1.95   -0.24   -2.75   -2.59   -1.26   -2.52    0.21   -3.84   -2.02   -3.21   -1.67   -1.78   -0.93   -3.75   -1.22    0.62   -0.44
197611    3.19   -0.38    0.46    2.60   -1.06   -0.05    1.10    2.01    2.52    0.25   -1.91    0.61   -1.02    1.24    1.02    1.25    2.79    2.26    2.94
197612    8.81    4.39    7.48    6.38    4.08    5.67    8.34    7.37    5.53    3.88    4.22    4.84    6.92    7.51    8.86    6.50    8.25    5.30    5.89
197701    0.28   -6.74   -3.75    0.67   -7.64   -5.65   -3.80   -0.04    0.76   -7.83   -7.51   -5.46   -5.92   -3.82   -3.78   -0.55    0.47    0.39    1.37
197702   -3.35   -1.87   -1.25   -1.32   -2.70   -0.67   -1.51   -1.50   -1.29   -3.61   -2.07   -0.72   -0.59   -0.35   -2.23   -1.62   -1.38   -0.56   -2.46
197703   -0.13   -1.24   -0.99   -0.62   -1.75   -0.70   -1.23   -0.73   -0.51   -2.45   -1.27   -0.55   -0.93    0.42   -2.28   -0.59   -0.87   -1.14    0.53
197704    0.24   -1.42    1.42    2.06   -1.33   -0.66    2.09    2.12    1.59   -1.11   -1.48   -1.53    0.62    1.18    2.68    1.16    3.05    1.27    2.11
197705   -0.79   -2.13   -1.40    0.94   -1.47   -2.57   -1.54   -0.34    1.51   -0.10   -2.39   -3.01   -1.94   -2.27   -1.06   -0.39   -0.28    1.84    0.98
197706    9.94    6.45    4.13    3.85    6.87    5.18    3.90    4.06    3.96    8.61    5.67    5.86    4.20    3.47    4.17    4.52    3.61    3.34    4.96
197707   -1.04   -1.82   -1.38   -0.63   -1.69   -1.61   -1.79   -1.33    0.03   -1.89   -1.44   -1.99   -1.20   -1.24   -3.03   -0.45   -1.99   -0.30    0.48
197708   -0.75    0.22   -1.00   -2.85   -0.22    0.41   -0.65   -3.79   -2.20    0.29   -0.83    0.81   -0.01    0.01   -2.19   -3.26   -4.20   -2.75   -1.46
197709   -0.08    0.22   -0.93    1.48    0.65   -0.56   -1.24    0.21    1.93    0.26    1.12   -0.32   -0.81   -1.39   -0.87   -0.20    0.53    2.01    1.81
197710   -4.72   -4.63   -3.69   -3.30   -5.02   -3.91   -3.94   -3.01   -3.41   -5.52   -4.40   -4.12   -3.69   -4.29   -3.12   -2.94   -3.06   -3.94   -2.71
197711    9.23    6.12    4.56    2.64    6.85    4.67    4.69    3.91    2.33    7.28    6.33    5.16    4.15    4.37    5.44    4.73    3.30    2.32    2.33
197712    2.13    1.14    0.39    0.79    2.16   -0.39    0.82    0.88    0.59    1.64    2.79   -0.21   -0.57    0.72    1.07    0.44    1.21    1.39   -0.47
197801   -2.03   -6.91   -5.95   -4.20   -7.28   -6.39   -5.65   -5.34   -3.97   -7.79   -6.68   -6.40   -6.38   -5.34   -6.38   -6.21   -4.69   -4.25   -3.58
197802    1.53   -1.66   -1.71    0.36   -1.55   -1.72   -1.56   -1.58    1.06   -2.01   -1.00   -1.80   -1.64   -1.93   -0.70   -2.23   -1.10    1.67    0.24
197803    8.59    3.84    2.76    3.06    4.39    3.24    1.79    4.02    2.86    2.81    6.22    3.10    3.39    0.66    4.42    4.75    3.48    2.87    2.84
197804   10.56   11.34   10.24    3.74   10.75   11.97   10.21    7.77    2.05   11.10   10.36   12.14   11.79   10.95    8.55    8.30    7.36    2.66    1.24
197805    8.04    4.18    2.25    0.02    4.75    2.99    2.08    1.38   -0.31    4.45    5.08    3.40    2.56    1.68    2.99    2.30    0.68    0.23   -1.04
197806    1.00   -0.33   -1.72   -1.50   -0.44   -1.17   -1.51   -2.45   -0.74   -0.52   -0.34   -0.19   -2.21   -1.68   -1.14   -1.67   -3.05   -1.30    0.04
197807    8.63    7.37    6.33    3.20    8.31    6.64    6.66    4.12    3.07    8.57    8.07    5.86    7.69    7.59    5.60    4.50    3.67    2.81    3.43
197808    8.59    5.26    4.16    3.17    5.94    4.07    4.36    4.36    2.62    6.44    5.48    4.13    3.99    4.63    4.04    3.80    5.03    3.66    1.10
197809   -1.50   -2.40   -1.50    1.45   -2.47   -2.27   -1.97    0.57    1.59   -2.98   -1.98   -2.30   -2.23   -2.91   -0.87    0.23    0.98    2.32    0.52
197810  -24.22  -14.22  -10.60   -7.95  -15.65  -12.08   -9.72  -11.11   -7.09  -17.75  -13.68  -11.86  -12.36   -8.90  -10.65  -11.42  -10.74   -7.31   -6.77
197811    8.60    4.83    2.77    2.74    5.64    3.23    2.93    2.58    2.70    6.95    4.47    3.57    2.78    3.36    2.44    2.33    2.87    2.82    2.52
197812    3.03    2.83    2.21    0.14    2.82    2.78    2.93    1.19   -0.57    3.45    2.24    2.86    2.68    4.85    0.67    0.07    2.51    0.26   -1.83
197901    8.84    3.38    5.32    5.14    3.78    3.95    4.89    5.47    5.30    3.94    3.63    2.73    5.62    4.61    5.22    6.21    4.63    4.90    5.92
197902   -2.20   -4.45   -3.00   -1.60   -4.97   -3.60   -3.26   -1.95   -1.47   -4.75   -5.19   -3.61   -3.58   -3.17   -3.37   -1.88   -2.02   -1.02   -2.16
197903   14.06    7.58    6.48    4.75    8.96    6.09    5.51    8.56    3.59   10.52    7.46    5.42    6.98    5.48    5.56    8.51    8.61    4.12    2.76
197904    2.29    1.34    0.71    0.21    1.22    1.09    0.79    1.31   -0.38    1.69    0.75    1.53    0.52    0.03    1.72    0.65    2.08    0.00   -0.98
197905   -0.29   -2.17   -1.44   -0.84   -1.86   -1.49   -1.57   -1.83   -0.68   -2.80   -0.91   -2.66    0.07   -1.97   -1.07   -2.24   -1.36   -1.58    0.76
197906    8.00    5.61    3.83    4.58    5.49    4.98    3.09    5.80    4.09    6.10    4.90    5.80    3.91    1.66    4.82    5.58    6.07    4.03    4.19
197907    1.15    2.69    1.12    1.43    2.47    1.90    0.25    2.69    1.07    2.13    2.77    3.02    0.66   -0.15    0.81    3.30    2.09    1.45    0.60
197908    8.20    8.13    6.48    4.23    8.87    6.95    6.04    6.78    3.00    9.86    8.00    7.02    6.87    5.16    7.28    7.08    6.47    3.76    2.04
197909    0.22    1.05   -0.10   -0.75    1.72    0.00   -1.02    0.99   -1.34    2.14    1.33    0.02   -0.02   -0.63   -1.56    1.68    0.29   -1.19   -1.53
197910   -9.73   -6.87   -7.47   -6.73   -6.34   -7.61   -7.29   -7.21   -6.80   -6.05   -6.60   -7.71   -7.51   -6.82   -7.93   -7.80   -6.61   -6.10   -7.69
197911   11.85    9.54    5.79    3.36    9.70    8.18    5.96    4.15    3.13   11.39    8.18    9.27    6.98    6.02    5.88    4.55    3.76    4.09    1.86
197912    8.61    4.93    3.01   -0.67    5.95    3.65    2.16    2.17   -1.31    6.11    5.80    3.32    4.03    1.09    3.66    3.90    0.42   -0.42   -2.49
198001   12.06    8.05    6.27    3.61    8.76    7.05    6.02    5.63    2.65    9.64    7.93    6.92    7.19    5.64    6.53    6.02    5.23    3.70    1.20
198002    2.33   -0.94   -0.02   -0.98   -0.41   -1.86   -1.14    1.36   -0.90    1.31   -2.06   -1.82   -1.91   -0.33   -2.23    3.68   -1.11    2.18   -5.25
198003  -20.82  -13.80  -11.16   -8.00  -14.80  -11.84  -10.37  -11.12   -6.96  -16.37  -13.25  -12.12  -11.53  -10.70   -9.92  -12.36   -9.72   -8.82   -4.14
198004    5.82    4.85    4.08    6.78    6.14    2.64    3.97    5.05    8.11    7.47    4.86    2.78    2.48    3.11    5.14    5.53    4.53    6.96    9.76
198005    6.95    6.22    5.85    6.05    6.50    6.42    5.40    6.97    4.74    6.29    6.70    5.75    7.18    4.97    5.98    5.71    8.34    5.53    3.61
198006    5.03    4.40    3.79    2.35    5.12    3.06    4.80    2.72    2.01    6.84    3.41    3.17    2.94    5.17    4.31    2.52    2.93    0.80    3.75
198007   14.50    8.44    7.14    3.59    9.86    5.98    7.51    7.07    2.28   10.86    9.02    6.31    5.62    9.00    6.14    8.06    5.92    5.89    0.68
198008    7.64    3.93    0.95    1.65    5.19    1.24    0.90    1.97    1.19    6.19    4.34    1.99    0.43    0.33    1.44    1.56    2.44   -0.46    1.96
198009    5.06    7.11    1.97   -0.93    6.04    6.41    2.11    0.06   -1.59    5.27    6.70    8.81    3.79    2.10    2.11   -0.06    0.19   -0.42   -2.12
198010    4.04    4.31    1.11   -0.42    3.48    4.37   -0.34    2.28   -2.40    1.47    5.17    5.59    2.98   -0.89    0.17    1.76    2.89   -1.28   -2.93
198011   15.04   16.69    9.93    2.37   15.82   15.67    8.95    8.43   -1.37   17.68   14.31   18.01   12.92    7.95    9.88    8.50    8.35    1.15   -2.56
198012   -2.69   -5.54   -2.58   -0.08   -5.15   -5.83   -1.35   -1.91    1.50   -4.94   -5.33   -6.12   -5.47   -2.02   -0.74   -1.60   -2.28    0.76    1.89
198101   -7.34   -8.05   -3.49    1.87   -7.85   -7.29   -1.88   -1.66    2.66   -7.21   -8.38   -8.34   -6.01   -1.45   -2.26   -3.68    0.73    0.21    3.92
198102   -0.51    1.13    2.84    1.51    1.60    1.13    3.64    1.63    1.92    1.73    1.49    0.42    1.99    3.00    4.22    2.27    0.90    2.22    1.77
198103    9.22    4.53    3.85    4.44    4.93    2.83    5.72    3.08    5.16    5.85    4.15    3.93    1.53    7.10    4.48    2.85    3.35    9.18    3.16
198104    1.91   -3.26   -1.12    1.64   -1.96   -3.23   -0.71   -1.03    2.51   -1.44   -2.40   -5.24   -0.81   -0.38   -1.02   -2.20    0.31    2.58    2.48
198105    7.38    0.62    0.01    2.25    1.39   -0.95    0.22    0.82    3.31    2.27    0.61   -0.59   -1.38    0.02    0.41    1.03    0.59    0.83    4.62
198106   -7.97   -1.99    0.23    1.20   -3.97    1.06   -0.16    1.03    0.77   -5.60   -2.49    1.21    0.89   -0.12   -0.20    0.27    1.88    0.88    0.71
198107   -2.47    0.86    0.02   -0.86    1.35   -0.18    0.14   -1.49    0.50    1.63    0.97   -0.02   -0.38    0.51   -0.15    0.04   -3.31    0.07    0.98
198108   -9.78   -7.37   -5.95   -2.86   -7.42   -6.14   -6.71   -4.95   -2.02   -7.95   -6.69   -7.29   -4.64   -7.13   -6.37   -5.38   -4.43   -4.43    0.65
198109  -10.88   -7.38   -6.50   -2.60   -8.29   -6.83   -6.90   -4.26   -2.20   -8.73   -7.66   -5.79   -8.15   -6.54   -7.19   -5.00   -3.36   -4.42    0.14
198110   11.15   10.48    4.82    3.43   11.48    8.49    3.74    4.09    3.57   11.84   10.99    8.80    8.08    6.22    1.86    4.87    3.15    2.17    5.00
198111   -0.15    3.33    5.49    5.06    2.74    5.67    4.68    5.20    5.33    2.22    3.44    4.36    7.40    3.91    5.28    5.74    4.53    6.14    4.54
198112   -4.85   -3.69   -2.41   -2.04   -3.90   -3.76   -1.78   -1.89   -2.43   -3.77   -4.07   -3.35   -4.28   -1.34   -2.12   -2.40   -1.27   -2.68   -2.18
198201   -3.15   -3.78   -3.79    0.60   -3.99   -3.63   -4.24   -0.90    0.02   -3.71   -4.39   -3.43   -3.89   -4.86   -3.75   -3.03    1.69   -1.77    1.80
198202   -8.16   -7.25   -5.60   -1.75   -7.88   -5.89   -6.44   -2.95   -2.00   -8.79   -6.58   -6.20   -5.48   -7.08   -5.95   -4.39   -1.28   -2.76   -1.27
198203   -3.71   -2.04   -0.68    0.57   -2.64   -1.30   -0.16   -1.33    1.78   -2.48   -2.86   -1.08   -1.60    0.07   -0.34   -1.03   -1.67    0.81    2.70
198204    6.06    5.95    4.62    2.93    6.02    6.00    4.86    4.01    2.08    6.74    5.07    5.84    6.23    5.47    4.40    3.53    4.54    2.55    1.64
198205   -6.36   -4.80   -1.94   -1.79   -5.34   -3.24   -1.62   -3.04   -0.66   -5.24   -5.48   -3.95   -2.21   -2.72   -0.75   -2.31   -3.86   -0.96   -0.38
198206   -4.28   -2.95   -1.58   -1.52   -3.78   -0.01   -2.56   -1.37   -1.91   -4.72   -2.49   -1.65    2.32   -1.78   -3.16   -1.90   -0.79   -1.74   -2.08
198207   -3.78   -1.51   -1.57   -2.98   -0.86   -2.60   -0.66   -4.37   -1.94   -1.05   -0.64   -2.81   -2.40   -2.38    1.36   -3.26   -5.59   -1.37   -2.72
198208    9.12   10.83   11.87   12.99   11.44   10.28   11.59   13.87   12.43   11.62   11.24    9.58   10.93   12.49   10.56   13.36   14.44   12.02   13.00
198209    0.31    2.40    2.63    0.63    2.54    2.66    2.55    1.82    0.43    3.39    1.60    2.11    3.16    2.20    2.95    2.42    1.14    1.15   -0.57
198210   20.39   13.23   12.03    8.63   13.96   12.46   11.31   12.90    6.98   15.13   12.64   11.72   13.13   12.05   10.46   13.01   12.77    7.53    6.19
198211   12.19    7.44    4.98    2.36    8.14    5.15    5.19    4.15    1.94    8.09    8.19    5.95    4.43    5.11    5.28    4.85    3.36    2.43    1.24
198212   -1.53    1.17    1.54    1.74    1.24    0.35    2.68    0.13    2.37    0.63    1.95    1.02   -0.25    1.02    4.59    0.02    0.26    1.31    3.91
198301   12.69    3.16    2.50    5.40    3.48    2.46    2.86    2.99    5.75    3.47    3.48    2.45    2.46    3.22    2.44    1.56    4.58    7.41    3.35
198302    3.95    4.35    3.32    1.92    4.55    4.35    2.49    4.06    1.20    4.74    4.33    3.88    4.77    3.21    1.67    4.44    3.66    0.89    1.67
198303    1.88    3.78    3.87    3.15    3.55    4.47    2.69    5.61    2.51    2.32    4.98    4.31    4.60    1.88    3.62    6.49    4.68    2.51    2.50
198304    6.99    5.94    8.15    7.44    5.49    6.35    8.69    8.61    6.94    5.50    5.48    6.96    5.80    7.30   10.27    8.64    8.58    6.68    7.33
198305    7.19    3.04   -0.85    0.70    3.16    2.00   -1.57    0.62    0.10    5.28    0.76    2.77    1.31   -2.11   -0.97   -0.67    2.04   -0.23    0.59
198306    5.80    5.91    4.63    0.29    6.11    4.47    5.72    2.30   -0.46    6.13    6.09    5.44    3.59    6.21    5.18    2.65    1.93    0.50   -1.89
198307   -6.53   -4.66   -3.47   -0.75   -5.19   -4.68   -2.93   -2.23   -0.18   -5.49   -4.81   -3.14   -5.75   -3.12   -2.72   -2.87   -1.78   -1.00    0.62
198308   -3.82   -2.30   -0.03    3.90   -2.29   -2.38   -0.02    2.84    4.20   -2.18   -2.43   -2.35   -2.40   -0.06    0.03    2.13    3.33    3.96    4.43
198309    0.06    0.80    2.94    1.48    0.25    2.68    2.71    1.97    1.82   -0.26    0.90    2.37    2.90    4.07    1.15    3.63    0.86    1.62    2.00
198310   -9.45   -5.79   -1.11   -0.09   -6.99   -2.63   -0.70   -1.36    0.79   -8.53   -5.05   -2.46   -2.74   -1.48    0.22   -0.83   -1.73    0.16    1.39
198311    4.83    3.96    2.55    1.76    4.78    2.96    1.59    3.81    0.83    4.87    4.68    1.78    3.79    0.33    3.03    4.21    3.54    1.37    0.33
198312   -2.61   -1.45   -0.03   -1.06   -1.46   -1.51    0.55   -0.01   -1.73   -1.38   -1.55   -1.43   -1.57    1.30   -0.33   -0.28    0.18    0.05   -3.41
198401   -4.33   -5.01   -1.46    2.59   -5.35   -3.52   -0.80   -0.45    3.73   -4.95   -5.85   -4.06   -3.14   -3.86    2.82   -1.86    0.53    3.65    3.81
198402   -6.36   -6.07   -4.20   -1.89   -6.00   -5.90   -4.01   -3.39   -1.14   -6.36   -5.55   -6.28   -5.63   -3.87   -4.17   -3.51   -3.30    0.24   -2.49
198403   -0.26    2.26    2.00    0.27    2.11    2.92    1.35    2.63   -0.89    1.95    2.32    2.65    3.10    2.35    0.16    2.84    2.49    0.38   -2.17
198404   -1.38    0.27    0.24    1.37    0.03    0.46    0.29    0.67    1.55    0.62   -0.70    0.93    0.14   -0.05    0.71    0.16    1.02    1.41    1.69
198405   -6.49   -6.16   -5.15   -4.13   -5.81   -5.90   -5.21   -4.60   -4.04   -4.95   -6.88   -7.12   -5.07   -4.91   -5.56   -5.06   -4.28   -6.02   -1.99
198406    3.34    4.35    2.79    2.19    4.49    4.11    1.94    2.20    2.82    4.41    4.60    3.97    4.20    1.09    2.97    3.89    1.06    0.15    5.25
198407   -5.98   -2.53   -1.37   -1.79   -2.72   -2.54   -0.52   -1.83   -1.88   -3.42   -1.74   -2.11   -2.90    0.95   -2.66   -2.06   -1.65   -3.45    1.38
198408   12.64   12.63   10.71   11.01   12.88   11.67   10.89   10.34   11.22   12.68   13.17   12.07   11.33   10.62   11.29    9.91   10.68   13.16    7.37
198409   -3.66   -2.34   -0.56    2.98   -2.67   -1.42   -0.06    0.54    3.73   -1.80   -3.93   -1.58   -1.29   -0.07   -0.05   -1.10    1.83    2.52    6.26
198410   -2.83   -0.87    1.32    0.08   -0.72    0.28    1.16    0.67    0.14   -1.28    0.04   -1.20    1.51    1.15    1.16    1.53    0.00   -1.90    4.24
198411   -5.15   -3.06   -0.65    0.50   -3.64   -0.92   -0.87   -0.92    1.62   -3.40   -3.97   -1.80   -0.19   -1.48    0.04   -0.48   -1.25    0.77    3.26
198412    1.74    2.73    2.29    2.57    2.65    2.89    2.15    2.50    2.47    1.71    3.93    2.92    2.87    2.13    2.17    2.22    2.72    2.43    2.55
198501   14.79   11.73    8.27    5.99   11.47   10.58    8.84    7.03    5.06   12.16   10.53   12.28    9.20    8.36    9.56    6.46    7.47    6.43    2.50
198502    1.14    1.27    1.93    2.19    1.21    2.54    1.30    2.22    2.16    1.86    0.31    1.40    3.49    1.00    1.76    2.19    2.24    2.81    0.90
198503   -3.75   -0.63   -0.57    1.39   -1.54    0.76   -1.47   -0.13    2.77   -1.97   -0.93    1.25    0.35   -2.10   -0.54    0.67   -0.75    1.96    4.36
198504   -3.29   -1.96   -0.91    1.88   -1.80   -1.58   -0.63    0.40    1.93   -0.83   -3.16   -2.28   -1.00   -1.14    0.11   -1.41    1.81    1.87    2.05
198505    4.46    6.94    5.89    5.34    6.29    7.62    5.61    5.62    5.18    5.94    6.78    8.28    7.08    5.06    6.40    5.63    5.61    4.89    5.73
198506    0.99    2.47    1.00    2.15    2.39    1.64    0.59    1.70    2.54    2.81    1.78    2.65    0.81   -0.13    1.55    1.95    1.52    1.99    3.62
198507    1.95    0.37    0.94   -2.14    0.04    1.21    1.28   -0.82   -2.67    0.34   -0.31    1.04    1.36   -0.52    2.50   -0.22   -1.23   -2.15   -3.44
198508   -2.14   -0.97   -0.78    0.67   -1.01   -1.00   -0.73   -0.40    1.21   -1.68   -0.22   -0.89   -1.10    1.11   -1.95   -0.62   -0.25    0.88    1.71
198509   -6.65   -5.49   -2.99   -3.10   -6.11   -4.58   -2.34   -2.65   -3.44   -6.55   -5.62   -4.28   -4.86   -1.35   -3.00   -2.87   -2.50   -2.54   -4.81
198510    3.44    4.06    4.49    5.55    3.93    4.66    4.25    4.79    5.92    4.48    3.32    4.29    4.99    5.08    3.68    4.65    4.89    5.22    7.02
198511    8.02    7.85    8.45    4.90    7.98    6.86    9.20    7.25    4.11    7.80    8.17    7.60    6.18    9.29    9.14    8.63    6.28    4.96    2.80
198512    4.31    4.59    5.10    4.08    3.96    5.04    5.63    4.67    3.65    3.94    3.99    5.75    4.36    2.45    7.69    4.45    4.82    3.59    3.73
198601    2.71    2.55    1.14   -0.33    2.17    2.54    0.11    0.18    0.54    2.23    2.11    3.23    1.89    1.59   -0.79    2.96   -1.81   -1.19    3.28
198602    7.05    8.20    8.44    6.73    8.39    8.53    7.85    8.51    6.01    8.18    8.61    7.87    9.18   10.73    6.06    9.19    8.00    5.16    7.30
198603    3.54    5.80    6.10    5.19    5.91    6.18    5.15    6.72    4.74    5.98    5.84    5.59    6.75    7.11    3.88    7.72    5.96    5.61    3.45
198604    2.38   -0.31   -1.01   -1.79   -0.55   -1.12   -0.67   -0.95   -2.18   -0.24   -0.90    0.11   -2.30   -1.27   -0.27   -0.69   -1.14   -1.58   -3.10
198605    3.90    5.77    5.25    5.14    6.04    5.20    4.61    6.53    4.43    7.11    4.84    5.29    5.11    6.84    3.12    6.80    6.32    5.09    3.41
198606   -1.71    1.37    1.92    2.32    1.60    1.14    1.48    2.81    2.30    1.70    1.49    0.96    1.31    3.23    0.27    3.39    2.36    2.00    2.76
198607  -10.19   -7.39   -6.43   -2.40   -8.17   -6.13   -7.00   -5.81   -0.60   -8.18   -8.15   -6.03   -6.22   -5.93   -7.79   -5.12   -6.47   -0.76   -0.37
198608    4.29    4.47    5.90    9.79    4.75    4.54    5.69    6.99   11.13    3.48    6.37    3.98    5.00    4.89    6.28    7.43    6.56   10.83   11.54
198609   -8.62  -10.18   -8.28   -6.59  -10.16   -9.84   -7.60   -7.48   -6.71  -10.15  -10.18  -10.20   -9.56   -8.32   -7.09   -8.68   -6.28   -6.92   -6.43
198610    4.84    6.20    4.92    4.93    6.04    6.72    3.97    6.04    4.24    6.42    5.56    6.48    6.92    5.85    2.65    5.38    6.69    4.24    4.23
198611    0.05    1.15    1.70    2.27    0.75    1.43    1.60    3.09    1.76    1.19    0.19    1.83    1.10    0.31    2.53    2.61    3.53    1.89    1.58
198612   -4.47   -1.83   -2.79   -2.71   -2.45   -2.39   -2.48   -3.24   -2.27   -2.83   -1.97   -0.76   -3.75   -2.59   -2.41   -2.63   -3.80   -1.95   -2.69
198701   16.25   13.20   13.21   10.80   12.45   13.40   13.22   12.24   10.88   13.31   11.33   14.46   12.47   13.59   12.95   13.96   10.61   11.15   10.51
198702    9.89    8.72    5.09   -0.14    9.53    7.57    4.75    3.22   -1.43   10.71    7.97    7.37    7.75    5.44    4.25    3.36    3.09   -1.62   -1.16
198703    0.68    0.87    2.20    3.21    1.21    0.98    2.64    1.71    3.80    1.48    0.85    0.29    1.61    2.01    3.10    1.62    1.80    3.99    3.53
198704   -1.18   -1.97   -1.80   -1.33   -2.27   -2.21   -1.89   -0.98   -1.28   -2.41   -2.07   -1.47   -2.86   -4.90    0.25   -0.50   -1.45   -1.23   -1.36
198705   -0.11    1.63    0.09    0.94    1.73    1.31   -0.30    0.87    0.62    1.94    1.42    1.46    1.18   -0.96    0.14    0.03    1.71    1.17   -0.14
198706    0.59    4.46    5.53    4.74    4.61    5.27    4.99    5.91    4.39    5.23    3.75    4.20    6.24    5.23    4.83    6.26    5.56    5.01    3.55
198707    3.56    6.21    4.96    2.33    6.37    5.72    4.76    3.88    2.04    5.29    7.71    5.91    5.52    5.51    4.27    5.09    2.82    3.51   -1.11
198708    3.85    4.55    3.67    4.01    4.75    3.69    2.76    5.11    4.08    5.95    3.31    4.18    3.17    2.28    3.08    6.51    3.88    4.41    3.35
198709   -1.11   -2.16   -2.25   -2.38   -2.36   -1.44   -2.59   -2.95   -1.65   -3.53   -0.90   -1.79   -1.08   -0.88   -3.71   -2.23   -3.60   -1.77   -1.38
198710  -30.51  -25.38  -23.31  -15.24  -26.49  -23.68  -23.62  -20.98  -12.39  -26.88  -26.01  -23.36  -24.01  -25.13  -22.61  -21.97  -20.06  -14.80   -6.94
198711   -8.19   -7.92   -7.48   -6.65   -7.94   -7.55   -7.28   -8.20   -5.81   -8.06   -7.79   -7.89   -7.18   -7.84   -6.92   -8.20   -8.21   -7.20   -2.92
